Company_Brand,HeadQuarter,Sector,What_it_does,Amount,Stage,Stage_category,Funding_year,Sector_category
Agrix,Patna,AgriTech,"Farming-as-a-service (covering farm machinery and agri input services) and provides market linkages, especially for fragmented farm owners.",0.0,Undisclosed,Others,2020,Information Technology
BharatAgri,Pune,AgriTech,A Smart Farming Technology Platform for Indian Farmers,0.0,Pre-series A,Pre-seed,2020,Information Technology
FreshtoHome,Bangalore,E-commerce,Freshtohome is an e-commerce platform for fresh and chemical-free seafood.,1210000000.0,Series C,"Series B,C,D&E",2020,Consumer Discretionary
Credable,Mumbai,FinTech,CredAble provides working capital & supply chain finance programs for large enterprises and their suppliers and distributors.,45000000.0,Undisclosed,Others,2020,Financials
Railofy,Mumbai,Transportation,Railofy is a WL & RAC protection that enables waitlisted passengers to reach their destination at the lowest possible price.,50000000.0,Seed,Seed,2020,Industrial
Teachmint,Bangalore,Edtech,Teachmint is an easy to use platform for tutors to conduct unlimited live classes and manage their classrooms,35000000.0,Seed,Seed,2020,unknown
Peel-Works,Mumbai,E-commerce,Peel-Works is a tech and data analytics company specializing in e-commerce for corner stores.,30000000.0,Undisclosed,Others,2020,Consumer Discretionary
Janani,Bangalore,Fertility tech,Janani aims to make the process of infertility treatment and assisted fertilisation easier,2000000.0,Pre-seed,Pre-seed,2020,unknown
Credgenics,Gurugram,FinTech,"Credgenics is a tech-enabled platform backed by Titan Capital, helping fintech lenders and Banks in their critical NPA reduction",33000000.0,Seed,Seed,2020,Financials
Finelistings,New Delhi,Luxury car startup,A Used Luxury Car Marketplace,0.0,Undisclosed,Others,2020,Consumer Discretionary
Wellversed,New Delhi,Healthcare,Wellversed Health enables production of customised clinical food products specific to health requirements of a demography or an individual.,0.0,Pre-series A,Pre-seed,2020,Health Care
Jumbotail,Bangalore,E-commerce,"Jumbotail is solving an important problem of organising food and grocery ecosystem in India through technology, data science and design.",110000000.0,Series B2,,2020,Consumer Discretionary
Winzo,New Delhi,Gaming startup,WinZO is a mobile e-sports social gaming platform that offers monetary benefits and prizes to players.,20000000.0,Undisclosed,Others,2020,Consumer Discretionary
mCaffeine,Mumbai,Cosmetics,"MCaffeine is a personal care brand that offers caffein-infused face, body, and hair care products.",50000000.0,Series B,"Series B,C,D&E",2020,Consumer Discretionary
Pocket FM,Bangalore,FM,Pocket FM is an audiobook & podcast app that brings you over 10K+ popular audiobooks.,50000000.0,Series A,Series A,2020,Consumer Discretionary
Snackible,Mumbai,Healthcare,Snackible operates a health-food production company designed to sell healthy snack food via online and offline channels.,0.0,Bridge,Others,2020,Health Care
FreshtoHome,Bangalore,E-commerce,Freshtohome is an e-commerce platform for fresh and chemical-free seafood.,160000000.0,Undisclosed,Others,2020,Consumer Discretionary
Jumbotail,Bangalore,Retail,Jumbotail is solving an important problem of organising food and grocery ecosystem in India,110000000.0,Series B2,,2020,Consumer Discretionary
Nykaa,Mumbai,E-commerce,Nykaa is an online marketplace for different beauty and wellness products.,0.0,Undisclosed,Others,2020,Consumer Discretionary
TagZ Foods,Bangalore,Food,TagZ Foods is a supplier of snacks and food products.,0.0,Undisclosed,Others,2020,Consumer Discretionary
Genius Teacher,Mumbai,Edtech,"Genius Teacher creates engaging educational content, delivers fun learning experience to the students",20000000.0,Undisclosed,Others,2020,unknown
Krimanshi Feeds,Jodhpur,Nutrition sector,Krimanshi aims to increase rural income by improving the productivity of Indian cattle with better quality feed.,5000000.0,Undisclosed,Others,2020,Consumer Discretionary
Origo,Gurugram,AgriTech,Provider of marketing and warehousing services for agricultural commodities.,40000000.0,Debt,,2020,Information Technology
GetVantage,Mumbai,FinTech,GetVantage is India and Southeast Asia's first fintech enabled Revenue-based financing platform.,50000000.0,Seed,Seed,2020,Financials
Betterplace,Bangalore,Tech platform,Developer of a digital verification platform designed to manage the semi-formal workforce.,100000000.0,Series B,"Series B,C,D&E",2020,Information Technology
Biddano,Mumbai,Healthcare,India's 1st tech-enabled healthcare logistics platform.,6000000.0,Pre-series A,Pre-seed,2020,Health Care
InVideo,Mumbai,Video,InVideo enables you to transform your content into great videos.,150000000.0,Series A,Series A,2020,unknown
Arzooo,Bangalore,Retail Tech,"Retail tech platform empowering 300,000+ small retailers in electronics space to compete with big organised players and increase sales",75000000.0,Series A,Series A,2020,Consumer Discretionary
BASIC Home Loan,Gurugram,FinTech,"A platform for automating home loans for middle and low-income households in India,",50000000.0,Seed,Seed,2020,Financials
SUGAR cosmetics,Mumbai,Cosmetics,It is a cruelty-free makeup brand providing cosmetics that is high on style and higher on performance.,20000000.0,Debt,,2020,Consumer Discretionary
Signzy,Bangalore,FinTech,It is creating 'building blocks for a Digital Trust system.,54000000.0,Undisclosed,Others,2020,Financials
Ahaguru,Chennai,Edtech,"It is conducting IIT JEE Coach for Physics, Math and Chemistry easily.",0.0,Series A,Series A,2020,unknown
EzeRx,Kolkata,Medtech,Developer and manufacturer of medical devices,2000000.0,Seed,Seed,2020,unknown
Ultraviolette Automotive,Bangalore,Automobiles,Ultraviolette Automotive is a technology startup working on electric two-wheelers and energy infrastructure.,40000000.0,Series B,"Series B,C,D&E",2020,Consumer Discretionary
Tring,Mumbai,Social Media,"Tring is a celebrity engagement platform, for all occasions including birthday, anniversaries, get well soon messages.",0.0,Undisclosed,Others,2020,Consumer Discretionary
Rare Planet,Kolkata,Retail startup,Rare Planet sells handicrafts made by local artisans.,4000000.0,Pre-series A,Pre-seed,2020,Consumer Discretionary
